attributes,datatype,date,station,value
",,0,2400",PRCP,2009-12-14T00:00:00,GHCND:USW00023234,0
",,W,",PRCP,2009-12-17T00:00:00,GHCND:USW00093837,0
"T,,0,2400",PRCP,2009-12-20T00:00:00,GHCND:USW00093721,0
"T,,0,",SNOW,2009-12-20T00:00:00,GHCND:USW00093721,0
",,0,2400",PRCP,2009-12-20T00:00:00,GHCND:USW00013881,0
",,0,",SNOW,2009-12-20T00:00:00,GHCND:USW00013881,0
",,0,0600",PRCP,2009-12-20T00:00:00,GHCND:USW00023062,0
",,0,",SNOW,2009-12-20T00:00:00,GHCND:USW00023062,0
",,0,2400",PRCP,2009-12-20T00:00:00,GHCND:USW00014734,97
",,0,",SNOW,2009-12-20T00:00:00,GHCND:USW00014734,109
",,0,2400",PRCP,2009-12-20T00:00:00,GHCND:USW00013739,13
",,0,",SNOW,2009-12-20T00:00:00,GHCND:USW00013739,18
",,0,2400",PRCP,2009-12-20T00:00:00,GHCND:USW00094823,3
",,0,",SNOW,2009-12-20T00:00:00,GHCND:USW00094823,3
",,W,",PRCP,2009-12-20T00:00:00,GHCND:USW00093107,0
",,N,",PRCP,2009-12-20T00:00:00,GHCND:US1WAKG0038,51
"T,,0,2400",PRCP,2009-12-20T00:00:00,GHCND:USW00013897,0
"T,,0,",SNOW,2009-12-20T00:00:00,GHCND:USW00013897,0
",,0,2400",PRCP,2009-12-25T00:00:00,GHCND:USW00013897,18
",,0,",SNOW,2009-12-25T00:00:00,GHCND:USW00013897,0
",,0,2400",PRCP,2009-12-27T00:00:00,GHCND:USW00014820,74
",,0,",SNOW,2009-12-27T00:00:00,GHCND:USW00014820,97
"T,,0,2400",PRCP,2009-12-27T00:00:00,GHCND:USW00014898,0
"T,,0,",SNOW,2009-12-27T00:00:00,GHCND:USW00014898,0
",,0,2400",PRCP,2009-12-27T00:00:00,GHCND:USW00012839,0
",,0,2400",PRCP,2009-12-27T00:00:00,GHCND:USC00190860,91
",,0,",SNOW,2009-12-27T00:00:00,GHCND:USC00190860,0
",,0,2400",PRCP,2009-12-27T00:00:00,GHCND:USW00014734,69
",,0,",SNOW,2009-12-27T00:00:00,GHCND:USW00014734,0
",,0,2400",PRCP,2009-12-27T00:00:00,GHCND:USW00013739,0
",,0,",SNOW,2009-12-27T00:00:00,GHCND:USW00013739,0
",,0,2400",PRCP,2009-12-27T00:00:00,GHCND:USW00094823,5
",,0,",SNOW,2009-12-27T00:00:00,GHCND:USW00094823,5
",,0,2400",PRCP,2009-12-27T00:00:00,GHCND:USW00023234,8
",,0,2400",PRCP,2010-01-03T00:00:00,GHCND:USW00013881,0
",,0,",SNOW,2010-01-03T00:00:00,GHCND:USW00013881,0
",,0,2400",PRCP,2010-01-03T00:00:00,GHCND:USW00014820,8
",,0,",SNOW,2010-01-03T00:00:00,GHCND:USW00014820,18
",,0,0600",PRCP,2010-01-03T00:00:00,GHCND:USW00023062,0
",,0,",SNOW,2010-01-03T00:00:00,GHCND:USW00023062,0
",,0,2400",PRCP,2010-01-03T00:00:00,GHCND:USW00012839,0
"T,,0,2400",PRCP,2010-01-03T00:00:00,GHCND:USW00014734,0
"T,,0,",SNOW,2010-01-03T00:00:00,GHCND:USW00014734,0
",,W,",PRCP,2010-01-03T00:00:00,GHCND:USW00023230,0
",,W,",PRCP,2010-01-03T00:00:00,GHCND:USW00093107,0
",,N,",PRCP,2010-01-03T00:00:00,GHCND:US1WAKG0038,3
",,0,2400",PRCP,2010-01-03T00:00:00,GHCND:USW00012842,0
",,0,",SNOW,2010-01-03T00:00:00,GHCND:USW00012842,0
",,0,2400",PRCP,2010-01-10T00:00:00,GHCND:USC00190860,0
"P,,0,",SNOW,2010-01-10T00:00:00,GHCND:USC00190860,0
",,W,",PRCP,2010-01-17T00:00:00,GHCND:USW00093107,3
",,0,2400",PRCP,2010-02-07T00:00:00,GHCND:USW00012839,0
",,W,",PRCP,2010-09-12T00:00:00,GHCND:USW00093837,150
",,0,2400",PRCP,2010-09-12T00:00:00,GHCND:USC00190860,0
",,0,",SNOW,2010-09-12T00:00:00,GHCND:USC00190860,0
",,0,2400",PRCP,2010-09-12T00:00:00,GHCND:USW00014734,51
",,0,",SNOW,2010-09-12T00:00:00,GHCND:USW00014734,0
",,0,2400",PRCP,2010-09-12T00:00:00,GHCND:USW00013739,53
",,0,",SNOW,2010-09-12T00:00:00,GHCND:USW00013739,0
",,0,2400",PRCP,2010-09-12T00:00:00,GHCND:USW00094823,5
